number,title,user,created_at,closed_at,merged,merged_at
24554,Android AAR package build and test with CI,asmorkalov,2023-11-17 14:30:01+00:00,2023-11-28 12:17:06+00:00,True,2023-11-28 12:17:06+00:00
24553,Add yolov5n to tests,skycat8,2023-11-16 09:52:57+00:00,2023-11-24 07:36:07+00:00,True,2023-11-24 07:36:07+00:00
24552,"dnn: add openvino, opencl and cuda backends for layer normalization layer",fengyuentau,2023-11-16 09:23:32+00:00,2023-11-21 12:33:01+00:00,True,2023-11-21 12:33:01+00:00
24549,Correction on OpenNI Property Handling to make KinectV2 compatible,mathbarc,2023-11-15 23:40:10+00:00,2023-11-20 11:16:14+00:00,False,
24547,Classify and extend convolution and depthwise performance tests,WanliZhong,2023-11-15 16:49:12+00:00,2023-12-11 18:35:34+00:00,True,2023-12-11 18:35:34+00:00
24546,Check Checkerboard Corners,thewoz,2023-11-15 12:46:13+00:00,2023-12-20 15:01:40+00:00,True,2023-12-20 15:01:40+00:00
24544,dnn test: move layer norm tests into conformance tests,fengyuentau,2023-11-15 09:09:53+00:00,2023-11-20 08:19:25+00:00,True,2023-11-20 08:19:25+00:00
24539,Add blobrecttoimage,LaurentBerger,2023-11-14 08:44:13+00:00,2023-12-19 17:00:04+00:00,True,2023-12-19 17:00:04+00:00
24536,Change the lsx to baseline features.,CNClareChen,2023-11-13 09:00:07+00:00,2023-11-21 03:40:45+00:00,False,
24535,Handle huge images in IPP distanceTransform,dkurt,2023-11-13 08:49:43+00:00,2023-11-14 08:44:17+00:00,True,2023-11-14 08:44:17+00:00
24533,remove filter fix in aruco qr code detector,AleksandrPanov,2023-11-13 08:00:53+00:00,2023-11-13 11:58:11+00:00,True,2023-11-13 11:58:11+00:00
24531,dnn onnx test: remove cuda backend filter for instance norm test,fengyuentau,2023-11-13 06:50:36+00:00,2023-11-13 11:54:24+00:00,True,2023-11-13 11:54:24+00:00
24529,cuda: fix for compatibility with CUDA Toolkit >= 12.2.0,333fps,2023-11-12 14:01:34+00:00,2023-11-12 19:09:31+00:00,False,
24528,Compile bug fixes,ro-nan,2023-11-11 19:00:04+00:00,2023-11-12 07:17:39+00:00,False,
24527,Fix out of image corners in cv::cornerSubPix,MaximSmolskiy,2023-11-11 14:17:34+00:00,2023-11-21 12:36:44+00:00,True,2023-11-21 12:36:44+00:00
24526,fix tab arrow issue,thewoz,2023-11-11 13:16:40+00:00,2023-11-13 11:55:48+00:00,True,2023-11-13 11:55:48+00:00
24521,Fix some of the broken urls in docs,dkurt,2023-11-10 11:49:15+00:00,2023-11-11 06:06:11+00:00,True,2023-11-11 06:06:11+00:00
24519,updated additional resources links,shubh1176,2023-11-10 09:04:41+00:00,2023-11-12 10:33:41+00:00,True,2023-11-12 10:33:41+00:00
24517,3d: fix static init in test,mshabunin,2023-11-09 19:14:43+00:00,2023-11-09 20:07:42+00:00,True,2023-11-09 20:07:42+00:00
24513,fix for Eigen 3.4.1 unsupported Tensor/TensorMeta.h header issue,jeanchristopheruel,2023-11-08 20:47:21+00:00,2023-11-09 14:51:12+00:00,False,
24512,Fixed build warning introduced in #24243,asmorkalov,2023-11-08 11:47:52+00:00,2023-11-08 12:42:50+00:00,True,2023-11-08 12:42:50+00:00
24511,Exclude RVV UI internals from Doxygen documentation.,asmorkalov,2023-11-08 11:24:27+00:00,2023-11-08 14:00:45+00:00,True,2023-11-08 14:00:45+00:00
